"EscrowBalanceAmount","EscrowMonthlyPaymentAmount","FeeSummaryTotalFeesAmount","GraceDaysPaidDescription","InterestPaymentAmount","LatePaymentDaysCount","LifeInsuranceAmount","MonetaryEventAppliedDate","MonetaryEventEffectiveDate","MonetaryEventExplanationName","MonetaryEventPaymentDueDate","MonetaryEventPaymentIdentifier","MonetaryEventSourceOfFunds","MonetaryEventTotalPaymentAmount","MonetaryEventType","MonetaryEventTypeDescription","MonetaryEventTypeText","MonetaryEventUPBAmount","PrincipalPaymentAmount","SuspenseBalanceAmount","SuspensePaymentAmount"
3271.59,648.99,66.57,"WithinGraceDays",843.35,7,0,"2026-05-08","2026-05-08","Payment","2026-05-01","","",2379.82,"payment","Payment","Payment",367186.88,820.91,0,0
2622.60,648.99,0,"AfterExpiredGraceDays",845.23,21,0,"2026-04-23","2026-04-22","Payment","2026-04-01","","",2313.25,"payment","Payment","Payment",368007.79,819.03,0,-2313.25
1973.61,0,0,"AfterExpiredGraceDays",0,21,0,"2026-04-22","2026-04-22","Payment","2026-04-01","","",2313.25,"payment","Payment","Payment",368826.82,0,2313.25,2313.25
0.0,0.0,66.57,"",0,"",0,"2026-04-16","2026-04-16","","2026-04-01","","",66.57,"other","Late Charge","Late Charge Assessment",0.0,0.0,0,0
1973.61,-182.95,0,"",0,"",0,"2026-04-07","2026-04-07","","2027-04-01","70496","",-182.95,"escrow","Insurance Paid","Homeowners Insurance Disbursement",368826.82,0,0,0
2156.56,648.99,0,"WithinGraceDays",847.10,5,0,"2026-03-10","2026-03-06","Payment","2026-03-01","","",2313.25,"payment","Payment","Payment",368826.82,817.16,0,-2313.25
1507.57,0,0,"WithinGraceDays",0,5,0,"2026-03-06","2026-03-06","Payment","2026-03-01","","",2313.25,"payment","Payment","Payment",369643.98,0,2313.25,2313.25
1507.57,0,20.00,"ByDueDate",0,-6,0,"2026-02-23","2026-02-23","Payment","2026-03-01","","",20.00,"payment","Payment","Payment",369643.98,0,0,0
1507.57,648.99,66.57,"AfterExpiredGraceDays",848.97,22,0,"2026-02-23","2026-02-23","Payment","2026-02-01","","",2379.82,"payment","Payment","Payment",369643.98,815.29,0,0
0.0,0.0,66.57,"",0,"",0,"2026-02-17","2026-02-17","","2026-02-01","","",66.57,"other","Late Charge","Late Charge Assessment",0.0,0.0,0,0
858.58,-648.99,0,"",-848.97,"",0,"2026-02-05","2026-02-05","Returned Payment Reversal","2026-02-01","","",-2313.25,"reversals","Reversal","Returned Payment Reversal",370459.27,-815.29,0,0
1507.57,648.99,0,"ByDueDate",848.97,0,0,"2026-02-02","2026-02-01","Payment","2026-02-01","","Draft ACH",2313.25,"payment","Payment","Payment",369643.98,815.29,0,0
858.58,0,20.00,"ByDueDate",0,-6,0,"2026-01-26","2026-01-26","Payment","2026-02-01","","Draft ACH",20.00,"payment","Payment","Payment",370459.27,0,0,0
858.58,0,0,"",0,"",0,"2026-01-26","2026-01-26","Principal Curtailment","2026-02-01","","Draft ACH",200.00,"payment","Principal Curtailment","Principal Only Payment",370459.27,200.00,0,0
1648.99,1648.99,66.57,"AfterExpiredGraceDays",851.29,25,0,"2026-01-26","2026-01-26","Payment","2026-01-01","","Draft ACH",3379.82,"payment","Payment","Payment",370659.27,812.97,0,0
0.0,0.0,66.57,"",0,"",0,"2026-01-16","2026-01-16","","2026-01-01","","",66.57,"other","Late Charge","Late Charge Assessment",0.0,0.0,0,0
0,648.99,0,"",0,"",0,"2026-01-07","2026-01-07","","2026-01-01","","",648.99,"escrow","Escrow","Escrow Advance",371472.24,0,0,0
-648.99,-648.99,0,"",-851.29,"",0,"2026-01-07","2026-01-07","Returned Payment Reversal","2026-01-01","","",-2313.25,"reversals","Reversal","Returned Payment Reversal",371472.24,-812.97,0,0
648.99,648.99,0,"ByDueDate",851.29,0,0,"2026-01-02","2026-01-01","Payment","2026-01-01","","Draft ACH",2313.25,"payment","Payment","Payment",370659.27,812.97,0,0
