"date","balance","payment","principal","interest","rate"
"2023-11-25",252877.1400,2203.1100,207.8600,1474.2200,""
"2023-12-01",252668.0700,2203.1100,209.0700,1473.0100,""
"2023-12-19",252667.5700,0.5000,0.5000,0.0000,""
"2024-01-01",252457.2800,2203.1100,210.2900,1471.7900,""
"2024-02-01",252245.7600,2203.1100,211.5200,1470.5600,""
"2024-03-01",252033.0100,2169.4500,212.7500,1469.3300,""
"2024-04-01",251819.0200,2169.4500,213.9900,1468.0900,""
"2024-05-01",251603.7900,2169.4500,215.2300,1466.8500,""
"2024-06-01",251387.3000,2169.4500,216.4900,1465.5900,""
"2024-07-01",251169.5500,2169.4500,217.7500,1464.3300,""
"2024-08-01",250950.5300,2169.4500,219.0200,1463.0600,""
"2024-09-01",250730.2400,2169.81,220.29,1461.79,""
"2024-10-01",250508.6600,2169.4500,221.5800,1460.5000,""
"2024-11-01",250285.7900,2169.4500,222.8700,1459.2100,""
"2024-12-01",250061.6200,2169.4500,224.1700,1457.9100,""
"2025-01-01",249836.1500,2169.4500,225.4700,1456.6100,""
"2025-02-01",249609.3700,2169.4500,226.7800,1455.3000,""
"2025-03-01",249381.2600,2169.4500,228.1100,1453.9700,""
"2025-04-01",249151.8300,2173.1299999999997,229.43,1452.65,""
"2025-05-01",248921.0600,2169.4500,230.7700,1451.3100,""
"2025-06-01",248688.9500,2240.2100,232.1100,1449.9700,""
"2025-06-11",248688.9500,2260.21,232.11,1449.97,""
"2025-07-01",248455.4800,2240.2100,233.4700,1448.6100,""
"2025-08-01",248220.6500,2240.2100,234.8300,1447.2500,""
"2025-08-09",248220.6500,2240.2100,234.8300,1447.2500,""
"2025-09-16",247984.4600,2260.21,236.19,1445.89,""
"2025-10-13",247746.8900,2240.2100,237.5700,1444.5100,""
"2025-11-14",247307.9400,2440.21,438.95,1443.13,""
"2025-12-15",246866.4300,2440.21,441.51,1440.57,""
"2026-01-26",246422.3500,2473.85,444.08000000000004,1438,""
"2026-02-25",246175.6800,2240.2100,246.6700,1435.4100,""
"2026-03-06",245927.5700,2273.85,248.11,1433.97,""
"2026-04-20",245478.0200,2473.85,449.55,1432.53,""
"2026-05-15",245225.8500,2240.2100,252.1700,1429.9100,""
